SMILES,SLogP,SMR,MW,TopoPSA,BertzCT
CC[C@H](Sc1cc(C)c2cccc(C)c2n1)C(=O)Nc1nc2ccc(S(N)(=O)=O)cc2s1,4.618140000000003,130.77590000000004,486.08540356400056,176.96,1447.863087293728
COCCOC[C@H]1CC[NH+](C2C[C@@H](C)O[C@H](C)C2)C1,0.5102000000000022,74.52970000000006,272.22202024009044,32.13,251.77524166247372
CCN(CCO)C(=O)Nc1cccc(C(=O)Nc2cccc(C#N)c2)c1,2.6566800000000006,98.9037,352.1535405000006,105.46,829.5291002174757
Cc1nc(NC(=O)c2nn(-c3ccc(Cl)cc3)ccc2=O)sc1C(=O)OCC(C)C,3.7159200000000014,114.76870000000008,446.0815537680004,131.42,1138.4533909673123
O=C(CSc1ncccc1-c1nc2ccccc2[nH]1)Nc1ccc(S(=O)(=O)N2CCCC2)cc1,4.140200000000003,133.11319999999998,493.1242315960007,141.73,1395.5379147612132
Cc1ccc2nc(NC3CCC(C)CC3)c(/C=C3/SC(=S)N(Cc4ccco4)C3=O)c(=O)n2c1,4.987920000000005,138.66569999999987,494.1446326920007,137.24,1338.189812220628
COc1ccc(OC)c2sc(NC(=O)c3cc4c(ccc5ccccc54)oc3=O)nc12,4.825400000000003,120.66720000000002,432.0779926120004,118.9,1495.4195886040984
CCc1ccc(NC(=O)Cn2c(=O)n(Cc3ccco3)c(=O)c3sccc32)cc1,3.0671000000000017,112.6047,409.1096270880005,114.48,1264.245094353939
C[C@@](O)(CNC(=O)CCc1cccc([N+](=O)[O-])c1)c1cccs1,2.6128,88.31690000000003,334.0987280560005,120.71,683.1484994085564
C#Cc1cccc(N(Cc2cccs2)S(=O)(=O)c2cn[nH]c2)c1,2.8480000000000008,90.65250000000002,343.0449186560004,102.68,924.127995629899
C[C@@H](Cc1[nH+]ccn1C)C[C@@H](C)Br,2.1913,57.84270000000004,245.06478709609,19.07,255.1823537876685
CC[C@H](C)[C@H](C)C[C@@H](C)Br,3.842100000000003,51.62500000000004,206.067012708,0.0,78.79745154591336
C/C=C/CC[NH2+][C@@H]1CCc2ccc(F)cc21,2.3426,63.68540000000003,220.14960424809,16.61,384.3217732576528
NC(=O)c1nc(-c2ccc3c(c2)OCCO3)nc2c1n(Cc1ccccc1)c(=O)n2-c1ccc(F)cc1,3.306700000000002,133.57089999999994,497.1499323400006,114.26000000000002,1711.6771978644952
C[C@H]1CC(=O)Nc2ccccc2N1C(=O)CSc1nc(C(C)(C)C)nc2c1c(=O)n(C)c(=O)n2C,2.1807,136.08069999999998,496.1892743760008,144.49,1469.8316007324845
O=C(NCc1ccccc1)C1=C2CCCC[C@@H]2S[C@@H]1NC(=O)[C@@H]1C=C(c2ccccc2O)N=N1,4.312200000000004,131.8202,474.1725616920007,128.45000000000002,1191.5417116289896
N#C[C@@H](NC(=O)c1ccc(F)c(F)c1F)C1CC1,2.13588,55.90720000000001,254.066697568,52.89,534.8594399466567
CCCC[C@H](C(=O)[O-])c1ccccn1,1.1053,51.51000000000003,192.10300226791,53.02,284.5988225339022
CC[C@@H](C)[C@@H](Cl)c1cc(C)c(F)cc1F,4.5992200000000025,59.14400000000003,232.0830346,0.0,349.72051032501
C[C@H]1C[C@@H](N(C)CC(=O)N2CCOCC2)CC[NH+]1C,-1.157399999999995,74.26670000000006,270.2176035560904,37.22,305.06620208096933
C=C1CCCC(C)(C)[C@]12CC=C(C)CC2,4.869300000000004,66.81300000000005,204.187800768,0.0,306.0
COCCN1C(=O)C(C#N)=C(C)/C(=C\Nc2ccc(C)c([N+](=O)[O-])c2)C1=O,2.0543,96.44810000000004,370.1277196760004,125.57,910.8173316937208
CC(=O)NCc1ccc(C(=O)Nc2ccc(C(=O)N3CCC(C)CC3)cc2)s1,3.508600000000002,110.53640000000004,399.16166266000073,106.75,852.0356912884183
C[C@H]1CN2CCCC[C@@H]2CN1S(=O)(=O)CCC[NH2+]C1CC1,-0.0092999999999963,83.59820000000006,316.20532462009083,65.61,449.83508295547847
ClC/C=C/C[N+]12CN3CN(CN(C3)C1)C2,0.29,59.70640000000004,229.12145067609,9.72,243.31174110533564
Cc1nnc(S[C@@H](C)C(=O)Nc2sc3c(c2C#N)CCCCC3)n1Cc1ccccc1,4.956200000000004,124.54470000000002,451.1500524200008,137.14,1113.183120792379
O=C(Cc1csc(NC(=O)c2ccc3c(c2)OCO3)n1)NCc1cn2ccccc2n1,2.6307,113.3749,435.1001250240006,135.09,1248.764750139652
CCCCN1C(=O)[C@@H]2CCCCN2C(=O)[C@@H]1CC,1.7883999999999998,70.05200000000005,252.183778008,40.620000000000005,329.7556811171552
COc1cc([C@H]2c3c(oc4ccccc4c3=O)C(=O)N2c2nnc(C)s2)ccc1OCCC(C)C,5.136220000000004,133.72649999999996,491.1514919000008,123.0,1475.621413145482
CCCn1c(SCC(=O)N(C)[C@@H](C)c2nc3ccccc3s2)nc2sc3c(c2c1=O)CCC3,5.278100000000006,137.72499999999994,498.1217890720007,149.87,1371.2329096542749
CC(C)Cc1nnc([C@H](C)Sc2nnc(-c3ccco3)n2C)o1,3.509900000000002,85.81700000000004,333.1259458480005,108.07,762.7839457668189
CC(=O)Nc1cccc(-n2nnnc2S[C@@H](C)C(=O)c2c(C)[nH]c3ccccc23)c1,3.773920000000002,116.1429,420.1368448800006,130.86,1245.269094107839
CCCNC(=O)CSc1nc2cc(Cl)ccc2c(=O)n1-c1cccc(C)c1C,4.274240000000003,115.84870000000002,415.1121256240006,89.29,1094.9362491921445
Clc1cccc(CC[NH2+]Cc2cc[nH]c2)c1,1.9742,66.44510000000002,235.09965261209,32.4,423.2574547041585
ClC1(Cl)[C@@H](c2ccccc2)[C@@H]1c1ccccc1,4.741500000000003,72.80300000000004,262.03160574400016,0.0,457.4597334584949
Cc1c(Br)cc(C(=O)[O-])c(C)c1C,1.7378599999999995,52.683500000000016,240.98696523991,40.13,369.6777620755223
O=C(NC1CCCCC1)[C@@H](c1ccncc1)N(C(=O)c1csnn1)c1ccccc1-c1ccccc1,5.4371000000000045,140.59019999999984,497.1885461040008,116.32,1292.051460481693
COc1ccc(/C=c2\s/c(=C(/C#N)c3nnc4n3CCCCC4)n(-c3ccccc3)c2=O)cc1OC,2.785480000000001,137.97899999999987,499.1678106600007,123.2,1626.4720783942073
CC(=O)Nc1cccc(NC(=O)CSc2nnnn2-c2cc(C)ccc2C)c1,2.9683400000000013,108.7274,396.1368448800006,127.1,1017.1633816829022
