SMILES,UMAP_1,UMAP_2,UMAP_3
CC(C)(C)c1ccc2occ(CC(=O)Nc3ccccc3F)c2c1,6.340418,11.108646,12.735639
CCOC(=O)[C@@H]1CCCN(C(=O)c2nc(-c3ccc(C)cc3)n3c2CCCCC3)C1,7.7074585,11.588925,12.217811
COc1ccc(C(=O)N(C)[C@@H](C)C/C(N)=N/O)cc1O,5.2323675,11.834453,12.246259
C[C@@H]1CN(C(=O)c2cc(Br)cn2C)CC[C@H]1[NH3+],4.936806,11.519697,12.69654
CC(C)Cc1nc(SCC(=O)NC[C@@H]2CCCO2)c2c(=O)n(C)c(=O)n(C)c2n1,7.5050406,10.996185,12.101449
CCCCC(=O)NC(=S)Nc1ccccc1C(=O)N1CCOCC1,6.3216276,11.713358,12.5933895
Cc1nc2c(c(Nc3ncc(C)s3)n1)CCN(C(=O)CCc1ccccc1)C2,6.989415,11.405089,12.402033
O=C(NCCNC(=O)N1C[C@H]2CC=CC[C@@H]2C1)c1cccnc1,6.223504,11.705703,12.303496
Cc1cccn2c(=O)c(C(=O)NC[C@H]3CCO[C@@H]3C(C)C)cnc12,6.666347,11.438021,12.849208
C[C@@H](NC(=O)COC(=O)/C=C/c1ccc(Cl)cc1)c1ccccc1,6.054869,11.00763,12.327197
CCC[NH2+][C@@H]1COC[C@H]1C(=O)NCc1cscc1C,5.1561437,12.267342,12.767094
CC(=O)c1ccc(S(=O)(=O)N2CCCC[C@H]2C)cc1,6.0985036,11.409728,10.932735
CCn1cc(S(=O)(=O)N2CCCCC[C@@H]2c2cc(-c3ccc(F)cc3)no2)cn1,7.115485,11.102445,11.410096
CCn1cc(C(=O)N[C@H]2CC(=O)N(C)C2)c(C(C)C)n1,5.5784473,12.045816,12.355116
COc1ccc([C@@H](C)NC(=O)Cc2cccc3ccccc23)cc1,6.3112736,10.960403,12.754227
CCn1c(CC2CC[NH2+]CC2)nn(CCO)c1=O,5.0921836,12.416572,12.2972145
C=CCn1c(S[C@H](C)C(=O)N2CCC(C)CC2)nnc1-c1ccc(Cl)cc1,7.0272818,11.556856,12.717178
CCO[C@H]1C(=O)O[C@H]([C@@H](O)CO)C1=O,4.665238,11.904404,12.139666
COc1ccc([C@@H](NC(=O)Nc2cc(C)ccc2Cl)C2CCOCC2)cc1,6.8948493,11.698338,12.314446
C[C@H](Cc1cccs1)N(C)C[C@@H]1CCCC[C@@H]1[NH3+],4.9692144,12.626311,12.749519
CCOc1ncnc(S(=O)(=O)CC)c1N,5.7798715,11.387335,11.107115
CC[C@@H](NC(=O)N(C)Cc1ccc(-c2ccccc2)cc1)c1ccncc1,7.015295,11.543788,12.321218
O=C(Nc1ccc(-c2nc3ccccc3o2)cc1)[C@H]1CCCN1S(=O)(=O)c1ccc(F)cc1,7.449944,11.079978,11.571686
CCc1nnc(-c2cc3ccccc3n2CC(=O)NC(C)(C)C)o1,6.3981495,11.389326,12.723689
CCCCOc1ccccc1C[C@@H]([NH3+])C(=O)[O-],4.8621955,12.082354,12.232234
C[C@H]1C(=O)N(c2ccc3c(c2)CCC3)CCN1C(=O)c1ccc(Cl)c(Cl)c1,6.8116884,11.258774,12.390463
N#CC1(NC(=O)COc2cccc(Cl)c2)CCCC1,5.071568,11.546054,12.343314
Cc1cc(Cl)ccc1OCC(=O)N/N=C/c1ccccn1,5.3035507,11.13352,12.409309
O=C1NC(=S)NC(=O)C1=CNc1ccc([N+](=O)[O-])cc1O,5.6335654,10.824204,12.034506
Cc1c(C(=O)N2CCOCC2)oc2c1-c1nn(CC(=O)NCc3ccco3)cc1CC2,7.677399,11.347514,12.230363
COc1ccc([C@H]2C[C@@H](C(F)(F)F)n3nc(C(=O)NC4CCCCC4)cc3N2)cc1OC,6.1255817,10.350927,11.2726345
O=[N+]([O-])c1c(Nc2ccc(F)c(F)c2)ncnc1Oc1cccc2cccnc12,6.45569,10.601697,12.108573
CC(C)(C)n1ncc2c1CCC[C@H]2NC(=O)CSc1nc2ccccc2o1,6.882054,11.488569,12.89505
Cc1ccc([C@@H](C)NC(=O)N[C@@H](CCO)c2cccs2)cc1,5.7176456,11.545111,12.639201
Cc1ccccc1N1C(=O)C[C@H]([NH+](C2CCCCC2)C2CCCCC2)C1=O,7.1395674,12.214782,12.499499
CS(=O)(=O)[C@H]1O[C@H]1c1ccc(Cl)cc1Cl,4.9959297,11.410871,11.858945
