SMILES,UMAP_1,UMAP_2,UMAP_3
N#Cc1ccc(-c2ccc(O[C@@H](C(=O)N3CCCC3)c3ccccc3)cc2)cc1,6.710993,12.556512,11.642254
CCOC(=O)[C@@H]1CCCN(C(=O)c2nc(-c3ccc(C)cc3)n3c2CCCCC3)C1,7.0310016,12.745655,11.183958
CC[NH+](CC)[C@](C)(CC)[C@H](O)c1cscc1Br,4.329213,12.305749,12.053039
COc1ccc(C(=O)N(C)[C@@H](C)C/C(N)=N/O)cc1O,4.6886363,12.2418785,11.503678
Cc1c(/C=N/c2cc(Br)ccn2)c(O)n2c(nc3ccccc32)c1C#N,6.2234488,11.790928,12.317641
CCOc1ccc(OCC)c([C@H]2C(C#N)=C(N)N(c3ccccc3C(F)(F)F)C3=C2C(=O)CCC3)c1,7.2683325,12.23434,11.231049
CCCc1cc(NC(=O)CN2C(=O)NC3(CCC(C)CC3)C2=O)n(C)n1,6.4177446,12.665831,11.322989
CCCCC(=O)NC(=S)Nc1ccccc1C(=O)N1CCOCC1,5.723742,12.69329,11.72482
COC(=O)Cc1csc(NC(=O)Cc2coc3cc(C)ccc23)n1,5.786069,11.815057,12.106496
CC[C@H](C)C[C@@H](C)NC(=O)N1CCN(CC(=O)NC2CC2)CC1,5.43412,13.279336,10.992919
CC(=O)Nc1c2n(c3ccccc13)C[C@](C)(C(=O)NC1CCCCC1)N(C1CCCCC1)C2=O,7.2172136,12.493816,11.133172
CCc1ccc(N(Cc2ccc(C)s2)C(=O)c2ccc(=O)n(C)n2)cc1,6.3261137,12.374027,11.9765625
Cc1ccc(C#N)cc1S(=O)(=O)NCc1ccnc(OC(C)(C)C)c1,5.6489077,11.746283,10.308499
O=C(O[C@H]1CCOC1)C1(c2ccc(Cl)c(Cl)c2)CCC1,5.021609,12.183159,12.049416
CC(=O)c1ccc(S(=O)(=O)N2CCCC[C@H]2C)cc1,5.382749,11.615167,10.412943
Cc1[nH]c2ccc(C(=O)Nc3cc(C(C)(C)C)nn3-c3ncccn3)cc2c1C,6.735131,12.380368,11.52138
CCn1cc(C(=O)N[C@H]2CC(=O)N(C)C2)c(C(C)C)n1,4.939849,12.673406,11.499982
CC[C@@H](NC(=O)[C@H](C)n1cccn1)c1ccc(C)c(F)c1,5.0250673,12.186493,11.665244
C=CCn1c(S[C@H](C)C(=O)N2CCC(C)CC2)nnc1-c1ccc(Cl)cc1,6.444646,12.762282,11.778181
COc1ccc([C@@H](NC(=O)Nc2cc(C)ccc2Cl)C2CCOCC2)cc1,6.249832,12.720651,11.331707
COc1cccc(CN2CCc3nnc(CCc4ccccc4)n3CC2)c1,6.7473903,12.8915415,11.350575
O=C(N[C@H]1CCS(=O)(=O)C1)C1CC[NH2+]CC1,4.99064,11.868036,10.445437
CN(C)c1ccc([C@H](CNC(=O)C(=O)Nc2ccccc2C#N)N2CC[NH+](C)CC2)cc1,6.845898,12.707079,11.173353
CC[C@@H](C)CNc1nc2ccc(Cl)cc2s1,4.417716,12.163078,12.034213
C[C@H](OC(=O)c1nc(C2CC2)n2ccccc12)c1cnc2ccccc2c1,6.4226203,12.583472,12.238309
COC1CC[NH+](CCNc2nccn(C)c2=O)CC1,4.378343,12.707504,11.263857
O=C1NC(=S)NC(=O)C1=CNc1ccc([N+](=O)[O-])cc1O,5.3026214,11.496134,11.704431
Cc1c(C(=O)N2CCOCC2)oc2c1-c1nn(CC(=O)NCc3ccco3)cc1CC2,7.087061,12.515472,11.240157
Cc1ccc([C@@H](C)NC(=O)N[C@@H](CCO)c2cccs2)cc1,5.1727085,12.421189,11.987692
